Application;ShortName;AppID
7-Zip 24.08 (MSI-x64);7-Zip;6c3ea4df-0362-4f76-b7b9-6feea87f1288
7-Zip 24.09 (MSI-x64);7-Zip;782b6906-080b-4391-bba5-6a9e0a93d9b2
Greenshot 1.2.10.6;Greenshot;03940c5e-bfab-4265-b669-aec94c33b711
KeePass 2.58.0 (MSI);KeePass;37e9bbfc-d194-4982-be34-e8d12634ebd2
Office 365 x32 en-US;Office;cb3d3f28-9140-48e9-91e0-611ef7994822
Office 365 x64 en-US;Office;fdab9780-ac85-46ff-880d-47de8474f602
Office 365 x32 de-DE;Office;faa22481-48fc-41b6-9a73-25b9317d065c
Office 365 x64 de-DE;Office;e71f3a84-06d4-4957-a55d-66e4c39f755b
SAP 32bit;SAP GUI;a88ae86a-9d34-485c-a15c-a8d458d80aec
PDF-XChange 10.6.0.396 x64;PDF-XChange;aa0487f4-5aff-475d-8099-f652a08a0b66
SAP Secure Log.;SAP Secure;a87b38f2-51e8-4c89-99c6-674014b1228f
HP Support Asisstent;SoftwareComponent;c18fb7ea-a003-4c5f-952d-0d7ef1d0bbc3
.NET Runtime 6.0.30 x64;NET Runtime - 6;a381d707-f756-4826-bd1b-9a73f0dbcfeb
ASP .NET Core Runtime 6.0.30 x64;NET Host - 6;a8a84a11-fb85-46d2-b462-daeaf20d3442
Teams;Teams;8c34f9f8-a236-4cd1-9dc8-926d06ba61b3
Forticlient 7.2.9;FortiClient;9f45c10a-82f3-4843-b6ff-fc2ea192a0b3
Microsoft Project x64;Project;46b54607-b4aa-4267-b905-2528ccdeca8a
Microsoft Project x86;Project;db1c25b7-1b15-4896-b029-9d0a71ae6d1a
Microsoft Visio x64;Visio;a3e073c8-6a9b-43fe-a377-cb54d1714fe8
Microsoft Visio x86;Visio;1932efcc-9432-4e95-9f2b-8cebf10085ce
Nesus Agent (x64) - DEBBG;Nesus Agent ;c7a571af-3351-4fd3-a3e2-f08067e217cf
Google Chrome 138.0.7204.184;Google Chrome;8768781f-8c27-4908-b248-6234d7642cd8
PuTTY 0.83 (x64);Putty;ed368e1b-b55c-455e-afc4-adb6e0b27977
IrfanView 4.70;IrfanView;a1ee0f77-0e94-4377-9295-5cfd6a8f5e30
Mozilla Firefox 139.0.4;Mozilla Firefox;268501be-cac9-4da1-881d-56bd712d1005
